trip_id,route_id,service_id,direction_id
32181,23473,Regular,0
105134,23111,Regular,0
110487,20536,Regular,0
118517,21594,Regular,0
120496,24235,Regular,1
113449,22307,Regular,1
49589,11687,Regular,1
47203,16250,Regular,0
53577,16998,Regular,0
120468,24235,Regular,1
120475,24235,Regular,1
53571,16998,Regular,0
79794,18010,Regular,1
79792,18010,Regular,1
102594,18682,Regular,1
115337,23355,Regular,0
115327,23355,Regular,0
99186,23076,Regular,1
77250,21650,Regular,1
77238,21650,Regular,1
104610,21652,Regular,1
120500,23246,Regular,1
118520,22873,Regular,1
109102,21544,Regular,1
42451,22827,Regular,1
91547,23995,Regular,1
101833,21120,Regular,1
64302,12597,Regular,1
118521,22870,Regular,0
107196,21120,Regular,1
104003,21133,Regular,1
109035,23101,Regular,0
82707,23111,Regular,0
110495,20536,Regular,0
110415,22934,Regular,1
110494,20541,Regular,1
104612,21284,Regular,1
110170,22607,Regular,1
99519,20346,Regular,1
5047,23210,Regular,0
98408,20089,Regular,1
92754,20089,Regular,1
31615,20184,Regular,1
95084,18195,Regular,1
64298,12597,Regular,1
41461,20089,Regular,1
107004,22798,Regular,1
87395,24058,Regular,0
112875,23005,Regular,0
109044,21544,Regular,1
104564,21284,Regular,1
109112,21544,Regular,1
109000,21544,Regular,1
74675,23990,Regular,0
54753,20845,Regular,1
119487,23794,Regular,0
95088,18195,Regular,1
93636,23711,Regular,1
29603,12141,Regular,1
98462,20089,Regular,1
15318,22717,Regular,0
98173,20338,Regular,0
53097,17089,Regular,1
46918,10738,Regular,0
97901,23711,Regular,1
69586,10915,Regular,0
52800,24066,Regular,1
93771,12418,Regular,1
51158,12775,Regular,0
29075,12885,Regular,1
77739,18176,Regular,0
74673,23990,Regular,0
24457,12186,Regular,0
54859,20845,Regular,1
119473,23794,Regular,0
69221,17249,Regular,0
19288,11908,Regular,1
100577,23921,Regular,0
8351,18170,Regular,0
95082,18195,Regular,1
93783,12418,Regular,1
110535,20536,Regular,0
111712,23618,Regular,1
75222,23995,Regular,1
114859,24166,Regular,1
99348,23925,Regular,1
77375,16502,Regular,0
77355,16502,Regular,0
78536,16842,Regular,1
100972,19483,Regular,0
101277,18628,Regular,0
112333,21871,Regular,1
111743,23618,Regular,1
18400,12332,Regular,0
52739,17431,Regular,1
54541,20685,Regular,1
15540,938,Regular,0
98284,20089,Regular,1
110543,20536,Regular,0
104048,23068,Regular,0
93071,23210,Regular,0
104088,23068,Regular,0
101271,20436,Regular,0
18713,12492,Regular,0
10812,11276,Regular,0
69966,16734,Regular,0
67929,13261,Regular,1
52095,12650,Regular,1
4159,23733,Regular,1
79970,13034,Regular,0
29103,16353,Regular,0
42917,11541,Regular,0
92033,24066,Regular,1
23027,11541,Regular,0
23101,11541,Regular,0
87019,6532,Regular,1
8346,22996,Regular,0
96193,18762,Regular,0
108725,23140,Regular,1
18742,12930,Regular,1
52980,22136,Regular,0
110079,22906,Regular,0
102905,22876,Regular,0
102322,24066,Regular,1
67927,13261,Regular,1
67939,13261,Regular,1
18406,12332,Regular,0
116395,20685,Regular,1
83702,22996,Regular,0
19274,11909,Regular,1
83666,22996,Regular,0
105807,19686,Regular,0
105789,19686,Regular,0
100612,20257,Regular,0
110403,22934,Regular,1
111635,21612,Regular,1
104317,20685,Regular,1
92067,24066,Regular,1
44413,24066,Regular,1
62442,24066,Regular,1
94904,19727,Regular,0
72444,11866,Regular,1
72253,23011,Regular,0
72255,23011,Regular,0
50689,17238,Regular,1
93340,22780,Regular,0
24244,11979,Regular,0
95828,24192,Regular,0
24208,11979,Regular,0
62154,17053,Regular,0
104695,23250,Regular,1
5453,23229,Regular,1
57588,18025,Regular,0
69205,13431,Regular,0
69207,13431,Regular,0
69209,13431,Regular,0
16780,938,Regular,0
57135,18628,Regular,0
70889,13268,Regular,0
92627,20088,Regular,0
24014,11952,Regular,0
103678,16502,Regular,0
50983,23938,Regular,1
115377,23355,Regular,0
44387,23119,Regular,1
88786,23119,Regular,1
119475,23794,Regular,0
112342,12888,Regular,1
51558,12730,Regular,1
70894,13273,Regular,1
70891,13268,Regular,0
70893,13268,Regular,0
70895,13268,Regular,0
107973,19862,Regular,1
107871,19862,Regular,1
110551,20536,Regular,0
24200,11980,Regular,0
