route_id,route_short_name,route_long_name,route_type,agency_id
11954,568B,Adyar Depot TO Thiruporur,3,69
23811,49A,Thyagaraya Nagar TO Poonamallee B.T,3,69
23812,49A,Poonamallee B.T TO Thyagaraya Nagar,3,69
23813,49A,Thyagaraya Nagar TO Iyyappanthangal,3,69
12799,77FCt,Vadathur TO Avadi B.T,3,69
17241,70,Avadi B.T TO Tambaram West,3,69
23814,49A,Iyyappanthangal TO Thyagaraya Nagar,3,69
18958,5E,Vadapalani TO Besant Nagar,3,69
17233,70,Tambaram West TO Vadapalani,3,69
15813,45ACt,Keelkattalai TO Thyagaraya Nagar,3,69
12380,593Ct,Redhills TO Chennang Karanai,3,69
9771,95XCt,Shozhanganallur TO Tambaram West,3,69
23816,597 R1,Thyagaraya Nagar TO Thiruvallur,3,69
11943,566B,Kovalam TO Pattur,3,69
11949,566B,Tambaram West TO Iyyappanthangal,3,69
11951,566B,Tambaram West TO Kovalam,3,69
12993,95XCt,Sholinganallur TO Nehru Nagar,3,69
9774,95XCt,Tambaram West TO Shozhanganallur,3,69
20565,221 RE1,M.G.R.Central TO Thiruporur,3,69
12800,77Ct,Venkatachalam Nagar TO Ambattur I.E,3,69
20566,221 CT6,M.G.R.Koyambedu TO Kelambakkam Bus Terminal,3,69
13325,S27,Porur TO Guindy R.S,3,69
12221,57F,Karanodai TO M.K.B.Nagar,3,69
23817,597 R,Thiruvallur TO Thyagaraya Nagar,3,69
12952,B70Ct,Ambattur I.E TO Devik Eswari Nagar,3,69
12954,B70Ct,Devik Eswari Nagar TO Ambattur I.E,3,69
23818,113,Guindy Tvk Estate TO Redhills,3,69
12756,76B,Ottiyampakkam TO M.G.R.Koyambedu,3,69
14952,76B,M.G.R.Koyambedu TO Medavakkam Rd.Jn,3,69
3283,91V,Tambaram West Bus Stand TO Kilambakkam Bus Terminus,3,69
7317,70J,Ambattur Industrial Estate Depot TO J J Nagar West Terminus,3,69
3290,202,Avadi Bus Terminus TO Tambaram West Bus Stand,3,69
18964,51AX ct2,Kilambakkam Bus Terminus TO Thyagaraya Nagar Bus Depot,3,69
15804,170T,Kaviarasu Kannadasan Nagar TO Tambaram West,3,69
16328,SM1Ct,Velachery TO Keelkattalai,3,69
23819,CU2 CT2,MGR CHENNAI CENTRAL TO Mgr Central Railway Station,3,69
16379,SM1Ct,Keelkattalai TO Thiruvanmiyur,3,69
12885,89TCt,Somangalam TO Kundrathur Depot,3,69
18965,51AX R1,Tambaram West TO Thyagaraya Nagar,3,69
23820,113,Redhills TO Guindy Tvk Estate,3,69
3460,515M,Mamallapuram TO Kilambakkam Bus Terminus,3,69
18966,51AX ct1,Thyagaraya Nagar Bus Depot TO Kilambakkam Bus Terminus,3,69
12420,597CEt,Avadi B.T TO Poonamallee B.T,3,69
23821,17D R1,Island ground TO  K.K.Nagar,3,69
3177,70G,Vadapalani Bus Stand TO Tambaram West Bus Stand,3,69
13345,S47,Avadi B.T TO Mittanamallee G.H.S.S,3,69
18967,51AX R,Thyagaraya Nagar TO Tambaram West,3,69
13346,S47,Mittanamallee G.H.S.S TO Avadi B.T,3,69
15928,D70,Alandur (Depot) TO Guindy Tvk Estate,3,69
15067,D70,N.G.O.Colony TO Velachery B.T,3,69
3503,95X,Thiruvanmiyur Bus Stand TO Tambaram East Bus Stop,3,69
11899,55DEt,Kandigai TO Tambaram West,3,69
18972,104F,Kilambakkam B.T TO Madhavaram B.T,3,69
9021,M51VC,Chithalapakkam Tnhb TO Saidapet,3,69
18974,51X,Kilambakkam B.T TO Velachery B.T,3,69
23824,170C R1,T.V.K.Nagar TO Guindy Tvk Estate,3,69
3506,95X,Tambaram East Bus Stop TO Kilambakkam Bus Terminus,3,69
18975,118Et,Tambaram West TO Kalivanthapattu,3,69
11905,55DEt,Tambaram West TO Kandigai,3,69
23825,11M R1,Royapuram terminus  TO Iyyappanthangal  B.S,3,69
12435,61R,Padiyanallur TO Redhills,3,69
23826,11M R,Iyyappanthangal  B.S TO  Royapuram terminus,3,69
12413,61E,Avadi B.T TO Kilkondaiyur,3,69
3513,95X,Tambaram East Bus Stop TO Thiruvanmiyur Bus Stand,3,69
12028,55B,Pazhanthandalam TO Tambaram West,3,69
12436,61R,Redhills TO Avadi B.T,3,69
12040,55B,Tambaram West TO Pazhanthandalam,3,69
12422,61E,Kilkondaiyur TO Avadi B.T,3,69
12425,61E,Kilkondaiyur TO Koyambedu Market,3,69
12426,61E,Koyambedu Market TO Kilkondaiyur,3,69
12019,55A,Nehru Nagar TO Pallavaram,3,69
11984,558C,Padiyanallur TO Redhills,3,69
11988,558C,Pudhucherymedu TO Redhills,3,69
11989,558C,Redhills TO Padiyanallur,3,69
11991,558C,Redhills TO Ponneri,3,69
12022,55A,Pallavaram TO Nehru Nagar,3,69
12024,55A,Pallavaram TO Pazhanthandalam,3,69
20577,57 CT2,Moolakadai TO Redhills,3,69
23827,101X CT7,Poonamallee Bus Terminus TO   Poonamallee Depot,3,69
12839,88L,Periya Colony TO Vadapalani,3,69
12025,55A,Pallavaram TO Poonthandalam,3,69
12026,55A,Pazhanthandalam TO Pallavaram,3,69
12027,55A,Poonthandalam TO Pallavaram,3,69
12411,61C,Ellaiamman Nagar TO Avadi B.T,3,69
18978,118N,Tambaram West TO Neelamangalam,3,69
12407,61C,Avadi B.T TO Ellaiamman Nagar,3,69
20578,57 R1,Redhills TO Vallalar Nagar,3,69
20579,57 CT3,Vallalar Nagar TO Moolakadai,3,69
12400,61A,Melappedu TO Avadi B.T,3,69
12398,61A,Avadi B.T TO Melappedu,3,69
12428,61K,Avadi B.T TO Kanniamman Nagar,3,69
12438,61R,Redhills TO Padiyanallur,3,69
23828,154 CT,Poonamallee Terminus TO Poonamallee Depot,3,69
12005,558P,Padiyanallur TO Redhills,3,69
12007,558P,Perumbedukuppam TO Ponneri,3,69
2743,579C,Tambaram Sanatorium Bus Stand TO Oragadam,3,69
12008,558P,Perumbedukuppam TO Redhills,3,69
23829,154 CT,Poonamallee Depot TO Poonamallee Terminus,3,69
12009,558P,Ponneri TO Perumbedukuppam,3,69
20580,57 R2,Vallalar Nagar TO Redhills,3,69
12012,558P,Ponneri TO Redhills,3,69
17939,57,Moolakadai TO Vallalar Nagar,3,69
12013,558P,Redhills TO Padiyanallur,3,69
12014,558P,Redhills TO Perumbedukuppam,3,69
12015,558P,Redhills TO Ponneri,3,69
19862,35 CT1,Ayanavaram B.T TO Korattur,3,69
20581,32B R,Korukkupet R.S TO Vivekananda House,3,69
23830,164 CT3,Perambur Bus Terminus TO M.K.B.Nagar,3,69
17942,57,Redhills B.S TO Moolakadai,3,69
20582,32B R1,Vivekananda House TO Korukkupet R.S,3,69
8917,104C,Thyagaraya Nagar TO Kilambakkam B.S,3,69
19863,35 CT2,Korattur TO Ayanavaram B.T,3,69
22450,7M CT2,Doveton TO Island ground,3,69
18986,101 CT,Tollgate TO Poonamallee,3,69
12432,61K,Kanniamman Nagar TO Avadi B.T,3,69
23831,202 CT3,Poonamalle B.T TO Poonamallee Depot EV,3,69
15949,24A,Anna Nagar West TO M.G.R.Koyambedu,3,69
18989,V51CT,Medavakkam Bus Terminus to Saidapet,3,69
23832,21C CT6,Kannagi Nagar TO  Little Mount,3,69
11974,558B,Ponneri TO Redhills,3,69
12433,61K,Veerapuram Govt School TO Avadi B.T,3,69
11980,558B,Redhills TO Ponneri,3,69
11970,558B,Avurivakkam TO Redhills,3,69
11976,558B,Redhills TO Avurivakkam,3,69
11979,558B,Redhills TO Pazhaverkadu,3,69
23833,21G CT11,Central Depot TO  Island ground,3,69
15948,7M,J J Nagar West Terminus TO Nolambur Sakthinagar Bus Stop,3,69
23834,21G CT12,Island ground TO  Central Depot,3,69
18991,V51CT,Medavakkam Bus Terminus to Velachery,3,69
23835,21P CT2,NGO Colony TO  Island ground Terminus,3,69
23836,242 CT2,Central Depot to  Island ground,3,69
18992,V51CT,Velachery to Medavakkam Bus Terminus,3,69
23837,242 CT6,Island ground TO  Central Depot,3,69
16861,102,M.G.R.Central TO Kelambakkam,3,69
12417,597C,Poonamallee B.T TO Thirunindravoor,3,69
18995,V51 CT,Chromepet TO Kilambakkam,3,69
23838,25 CT,Poonamallee Terminus TO Poonamallee Depot,3,69
12418,597C,Thirunindravoor TO Poonamallee B.T,3,69
23839,25 CT,Poonamallee Depot TO Poonamallee Terminus,3,69
23840,26 CT1,Iyyappanthangal TO  Vadapalani,3,69
23841,26 CT15,Central Depot TO  Royapuram terminus,3,69
23842,26 CT16,Royapuram TO Central Depot,3,69
23843,26 CT4,Poonamallee Depot  EV TO Poonamallee,3,69
23844,26 CT9,Poonamallee Terminus TO Poonamallee Depot EV,3,69
23845,49X,Poonamallee TO  Poonamallee Depot,3,69
23847,49X,Poonamallee Depot TO  Poonamallee Terminus,3,69
17770,M88 CT,Porur TO Vadapalani,3,69
17772,65G,Avadi B.T TO Meyyur,3,69
17765,154,Thiyagarayanagar Terminus TO Todd Hunter Nagar,3,69
17774,45ACt,Saidapet Depot TO Thyagaraya Nagar Bus Depot,3,69
